sid,memoryid,rankid,bankid,category,permanency
Server_1,10,,,multiple_single_bit_failures,permanent
Server_100,7,,,multiple_single_bit_failures,permanent
Server_10002,9,,,multiple_single_bit_failures,permanent
Server_10004,2,,,multiple_single_bit_failures,permanent
Server_10004,7,,,multiple_single_bit_failures,permanent
Server_10005,11,,,multiple_single_bit_failures,permanent
Server_10007,17,,,multiple_single_bit_failures,permanent
Server_10009,7,,,multiple_single_bit_failures,permanent
Server_10009,9,,,multiple_single_bit_failures,permanent
Server_1001,2,,,multiple_single_bit_failures,permanent
Server_1001,14,,,multiple_single_bit_failures,permanent
Server_10010,19,,,multiple_single_bit_failures,permanent
Server_10011,8,,,multiple_single_bit_failures,permanent
Server_10012,1,,,multiple_single_bit_failures,permanent
Server_10012,12,,,multiple_single_bit_failures,permanent
Server_10012,14,,,multiple_single_bit_failures,permanent
Server_10014,23,,,multiple_single_bit_failures,permanent
Server_10015,17,,,multiple_single_bit_failures,permanent
Server_10016,14,,,multiple_single_bit_failures,permanent
Server_10016,16,,,multiple_single_bit_failures,permanent
Server_10016,17,,,multiple_single_bit_failures,permanent
Server_10021,16,,,multiple_single_bit_failures,permanent
Server_10022,7,,,multiple_single_bit_failures,permanent
Server_10023,22,,,multiple_single_bit_failures,permanent
Server_10024,4,,,multiple_single_bit_failures,permanent
Server_10025,23,,,multiple_single_bit_failures,permanent
Server_10026,18,,,multiple_single_bit_failures,permanent
Server_10027,2,,,multiple_single_bit_failures,permanent
Server_10028,7,,,multiple_single_bit_failures,permanent
Server_10029,15,,,multiple_single_bit_failures,permanent
Server_10030,8,,,multiple_single_bit_failures,permanent
Server_10030,13,,,multiple_single_bit_failures,permanent
Server_10030,15,,,multiple_single_bit_failures,permanent
Server_10030,19,,,multiple_single_bit_failures,permanent
Server_10032,2,,,multiple_single_bit_failures,permanent
Server_10033,9,,,multiple_single_bit_failures,permanent
Server_10033,22,,,multiple_single_bit_failures,permanent
Server_10034,2,,,multiple_single_bit_failures,permanent
Server_10035,1,,,multiple_single_bit_failures,permanent
Server_10036,9,,,multiple_single_bit_failures,permanent
