sid,memoryid,rankid,bankid,row,col,error_type,error_time
Server_1,10,1,13,3334,808,2,0001-06-14 06:40:59
Server_1,10,1,13,3334,808,2,0001-06-19 04:07:39
Server_1,10,1,13,3334,808,2,0001-06-26 00:32:58
Server_1,10,1,13,3334,808,2,0001-07-06 18:24:57
Server_1,10,1,13,3334,808,2,0001-07-07 17:54:17
Server_2,3,1,1,25338,1016,1,0001-01-17 09:56:21
Server_2,3,1,1,17033,1016,1,0001-01-17 14:05:26
Server_2,3,1,1,29573,1016,1,0001-01-17 19:25:33
Server_2,3,1,1,29575,1016,1,0001-01-17 19:33:45
Server_2,3,1,1,29576,1016,1,0001-01-17 20:51:17
Server_2,3,1,1,29577,1016,1,0001-01-17 20:55:46
Server_2,3,1,1,26554,1016,1,0001-01-17 21:19:30
Server_2,3,1,1,25283,1016,1,0001-01-17 21:20:53
Server_2,3,1,1,26556,1016,1,0001-01-17 21:21:30
Server_2,3,1,1,26555,1016,1,0001-01-17 21:29:19
Server_2,3,1,1,25282,1016,1,0001-01-17 21:31:00
Server_2,3,1,1,25556,1016,1,0001-01-17 21:32:12
Server_2,3,1,1,25553,1016,1,0001-01-17 21:45:42
Server_2,3,1,1,16385,1016,2,0001-01-17 21:46:32
Server_2,3,1,1,16384,1016,2,0001-01-17 21:46:32
Server_2,3,1,1,16386,1016,2,0001-01-17 21:46:32
Server_2,3,1,1,16389,1016,2,0001-01-17 21:46:32
Server_2,3,1,1,16387,1016,2,0001-01-17 21:46:32
Server_2,3,1,1,16388,1016,2,0001-01-17 21:46:32
Server_2,3,1,1,16390,1016,2,0001-01-17 21:46:33
Server_2,3,1,1,16391,1016,2,0001-01-17 21:46:33
Server_2,3,1,1,16394,1016,2,0001-01-17 21:46:37
Server_2,3,1,1,16393,1016,2,0001-01-17 21:46:37
Server_2,3,1,1,16395,1016,2,0001-01-17 21:46:37
Server_2,3,1,1,16392,1016,2,0001-01-17 21:46:37
Server_2,3,1,1,16398,1016,2,0001-01-17 21:46:38
Server_2,3,1,1,16399,1016,2,0001-01-17 21:46:38
Server_2,3,1,1,16396,1016,2,0001-01-17 21:46:38
Server_2,3,1,1,16397,1016,2,0001-01-17 21:46:38
Server_2,3,1,1,16417,1016,2,0001-01-17 21:46:42
Server_2,3,1,1,16416,1016,2,0001-01-17 21:46:42
Server_2,3,1,1,16418,1016,2,0001-01-17 21:46:43
Server_2,3,1,1,16420,1016,2,0001-01-17 21:46:43
Server_2,3,1,1,16421,1016,2,0001-01-17 21:46:43
Server_2,3,1,1,16422,1016,2,0001-01-17 21:46:43
Server_2,3,1,1,16423,1016,2,0001-01-17 21:46:43
Server_2,3,1,1,16427,1016,2,0001-01-17 21:46:48
Server_2,3,1,1,16424,1016,2,0001-01-17 21:46:48
Server_2,3,1,1,16426,1016,2,0001-01-17 21:46:48
Server_2,3,1,1,16429,1016,2,0001-01-17 21:46:48
Server_2,3,1,1,16430,1016,2,0001-01-17 21:46:48
Server_2,3,1,1,16431,1016,2,0001-01-17 21:46:48
Server_2,3,1,1,16448,1016,2,0001-01-17 21:46:53
Server_2,3,1,1,16450,1016,2,0001-01-17 21:46:53
Server_2,3,1,1,16451,1016,2,0001-01-17 21:46:53
Server_2,3,1,1,16454,1016,2,0001-01-17 21:46:53
Server_2,3,1,1,16463,1016,2,0001-01-17 21:46:58
Server_2,3,1,1,16460,1016,2,0001-01-17 21:46:58
Server_2,3,1,1,16458,1016,2,0001-01-17 21:46:58
Server_2,3,1,1,16456,1016,2,0001-01-17 21:46:58
Server_2,3,1,1,16457,1016,2,0001-01-17 21:46:58
Server_2,3,1,1,16462,1016,2,0001-01-17 21:46:58
Server_2,3,1,1,16461,1016,2,0001-01-17 21:46:58
Server_2,3,1,1,16459,1016,2,0001-01-17 21:46:58
Server_2,3,1,1,16485,1016,2,0001-01-17 21:47:03
Server_2,3,1,1,16483,1016,2,0001-01-17 21:47:03
Server_2,3,1,1,16482,1016,2,0001-01-17 21:47:03
Server_2,3,1,1,16480,1016,2,0001-01-17 21:47:03
Server_2,3,1,1,16484,1016,2,0001-01-17 21:47:03
Server_2,3,1,1,16481,1016,2,0001-01-17 21:47:03
Server_2,3,1,1,16486,1016,2,0001-01-17 21:47:04
Server_2,3,1,1,16487,1016,2,0001-01-17 21:47:04
Server_2,3,1,1,16488,1016,2,0001-01-17 21:47:08
Server_2,3,1,1,16491,1016,2,0001-01-17 21:47:08
Server_2,3,1,1,16490,1016,2,0001-01-17 21:47:08
Server_2,3,1,1,16489,1016,2,0001-01-17 21:47:08
Server_2,3,1,1,16492,1016,2,0001-01-17 21:47:09
Server_2,3,1,1,16493,1016,2,0001-01-17 21:47:09
Server_2,3,1,1,16495,1016,2,0001-01-17 21:47:09
Server_2,3,1,1,16494,1016,2,0001-01-17 21:47:09
Server_2,3,1,1,16513,1016,2,0001-01-17 21:47:13
Server_2,3,1,1,16519,1016,2,0001-01-17 21:47:14
Server_2,3,1,1,16515,1016,2,0001-01-17 21:47:14
Server_2,3,1,1,16514,1016,2,0001-01-17 21:47:14
Server_2,3,1,1,16518,1016,2,0001-01-17 21:47:14
Server_2,3,1,1,16516,1016,2,0001-01-17 21:47:14
Server_2,3,1,1,16517,1016,2,0001-01-17 21:47:14
Server_2,3,1,1,16523,1016,2,0001-01-17 21:47:19
Server_2,3,1,1,16524,1016,2,0001-01-17 21:47:19
Server_2,3,1,1,16521,1016,2,0001-01-17 21:47:19
Server_2,3,1,1,16520,1016,2,0001-01-17 21:47:19
Server_2,3,1,1,16522,1016,2,0001-01-17 21:47:19
Server_2,3,1,1,16527,1016,2,0001-01-17 21:47:19
Server_2,3,1,1,16525,1016,2,0001-01-17 21:47:19
Server_2,3,1,1,16546,1016,2,0001-01-17 21:47:24
Server_2,3,1,1,16548,1016,2,0001-01-17 21:47:24
Server_2,3,1,1,16549,1016,2,0001-01-17 21:47:24
Server_2,3,1,1,16550,1016,2,0001-01-17 21:47:24
