sid,failure_type,failed_time
Server_10003,2,0001-07-17 11:11:07
Server_10034,3,0001-08-11 07:35:07
Server_10074,3,0001-08-11 07:37:47
Server_10108,2,0001-07-13 03:51:43
Server_10152,2,0001-06-14 10:23:07
Server_1019,3,0001-06-14 21:17:03
Server_10238,3,0001-04-11 06:52:16
Server_10240,3,0001-04-06 04:24:34
Server_10250,1,0001-01-14 18:16:39
Server_10286,1,0001-01-10 05:13:34
Server_10348,3,0001-08-07 15:42:08
Server_10386,3,0001-06-28 13:12:50
Server_10388,3,0001-06-28 13:08:40
Server_104,2,0001-05-22 16:24:19
Server_10426,2,0001-08-22 15:45:25
Server_10437,3,0001-06-20 10:58:21
Server_105,3,0001-06-27 15:48:28
Server_10508,1,0001-06-24 05:03:00
Server_10514,2,0001-01-22 16:59:49
Server_10518,2,0001-03-12 07:36:11
Server_10519,1,0001-06-05 23:35:14
Server_10521,1,0001-08-30 22:47:44
Server_10540,1,0001-02-02 09:53:13
Server_10543,1,0001-06-31 12:05:58
Server_10628,3,0001-07-12 10:51:51
Server_10703,3,0001-05-19 11:25:29
Server_10723,3,0001-01-12 23:09:14
Server_10725,3,0001-04-26 18:13:03
Server_10775,2,0001-07-22 22:28:09
Server_10777,1,0001-01-09 11:35:14
Server_1082,3,0001-02-14 22:45:56
Server_10842,2,0001-06-21 20:51:33
Server_10867,2,0001-01-18 08:19:14
Server_10897,2,0001-08-11 20:48:25
Server_10898,3,0001-04-27 21:46:57
Server_10927,3,0001-03-28 05:25:56
Server_10933,3,0001-01-02 17:31:15
Server_10945,3,0001-03-23 08:56:34
Server_10948,3,0001-07-05 05:25:57
Server_10960,3,0001-04-02 13:10:29
Server_1097,3,0001-05-21 17:08:36
Server_10970,3,0001-03-03 10:33:52
Server_1098,3,0001-04-15 17:08:37
Server_10980,3,0001-02-20 08:07:41
Server_10982,2,0001-04-31 05:58:20
Server_10991,2,0001-03-14 00:16:45
Server_1100,3,0001-07-08 06:04:51
Server_11001,2,0001-04-11 21:43:00
Server_11006,3,0001-08-27 10:41:18
Server_11009,3,0001-06-28 13:06:20
Server_11022,1,0001-02-27 11:34:48
Server_11054,3,0001-04-21 14:22:54
Server_11072,1,0001-03-02 07:21:18
Server_11073,1,0001-02-27 07:16:25
Server_11076,1,0001-02-28 01:31:45
Server_11081,3,0001-02-14 02:18:01
Server_111,3,0001-05-19 09:56:56
Server_11101,2,0001-07-02 13:22:16
Server_11105,2,0001-03-31 13:01:36
Server_11121,1,0001-05-19 21:12:46
Server_11140,3,0001-07-13 14:41:19
